Cal1,Cal2,Cal3,Cal4,Cal5,Cal6,Cal7,Cal8,Cal9,Cal10,Cal11,Cal12,Cal13,Cal14,Cal15,Cal16,Cal17,Cal18,Cal19,Cal20,Cal21,Cal22
4.059157198030208,4.06121304223957,4.057676955171545,4.054864443584605,4.053919814377595,4.054872794150549,4.055397634479587,4.058819179803063,4.057238755983298,4.05921452592599,4.058665550213914,4.059069877850603,4.054272701049845,4.054476037082141,4.05319737070671,4.054778943047042,4.058136440642587,4.061829594730773,4.061298173199556,4.060048320393425,4.055744708322011,4.05510128201103
4.064408918497242,4.066455966817593,4.062930856850422,4.060126181632834,4.059185433685091,4.060132467250082,4.060659271020442,4.064071918908082,4.0624924945695,4.064463993804134,4.063916316047661,4.064319811973465,4.059536966302268,4.059739125912692,4.0584661812340865,4.06003940615848,4.063387909556646,4.067068807184762,4.066536587101258,4.065293416302779,4.061003612716142,4.060358637764381
4.069663269391697,4.071701538855429,4.068187385127642,4.065390532334026,4.064453656542671,4.0653947619157496,4.0659235201264075,4.0693272843121,4.067748864752044,4.069716098025595,4.069169714152995,4.069572381003484,4.064803839170696,4.065004824793544,4.063737588383916,4.065302488768074,4.0686420099927885,4.0723106711944,4.071777657174193,4.070541153563588,4.066265132629055,4.065618617134227
4.074920250481883,4.076949758105915,4.073446539774936,4.070657495471367,4.0697244827430366,4.070659677919892,4.071190381581108,4.074585275787691,4.073007866295931,4.074970838352762,4.074425744296568,4.074827584705066,4.070073319442626,4.070273133508641,4.069011591954849,4.070568190647617,4.0738987417180645,4.077555186513709,4.077021383165363,4.075791531935479,4.071529267843249,4.070881219891949
4.080179861536115,4.082200624321893,4.0787083205640355,4.075927070828042,4.074997912078884,4.075927215034843,4.076459855168166,4.079845893107435,4.078269498966159,4.080228214548026,4.0796844062450255,4.08008542284261,4.075345406905557,4.0755440518419315,4.07428819174553,4.075836511568904,4.079158104499528,4.0828023528967075,4.08226776482177,4.081044551178077,4.076796018141218,4.076146445808922
4.085442102322701,4.087454137256202,4.083972727266672,4.081199258187238,4.080273944342915,4.081197373032942,4.081731940671211,4.085109136043911,4.08353376252773,4.0854882263737755,4.084945699765017,4.085345895180522,4.080620101346986,4.080817579577361,4.079567387554608,4.081107451303734,4.084420098104229,4.0880521700974155,4.087516801890421,4.086300211051007,4.08206538330546,4.081414294656525
4.090706972609953,4.092710296661682,4.089239759654577,4.086474057332138,4.0855525793278265,4.086470151686521,4.087006637873863,4.090375004369696,4.088800656745643,4.090750873592402,4.090209624623192,4.090609001483202,4.085897402554412,4.086093716498879,4.084849179180732,4.086381009623898,4.08968472229922,4.093304637869852,4.09276849411832,4.0915585113139,4.087337363118474,4.086684766206138
4.095974472166186,4.097969102291171,4.094509417499481,4.091751468045927,4.090833816826319,4.091745550767919,4.092283946559747,4.095643497857366,4.094070181384899,4.096016155966295,4.095476180586196,4.095874741515053,4.0911773103153335,4.091372462390427,4.090133566422548,4.091657186301194,4.094951976851552,4.0985597559680365,4.098022841252468,4.096819451726377,4.092611957362753,4.091957860229138
4.101244600759708,4.103230553897511,4.099781700573117,4.097031490111791,4.09611765663109,4.0970235700494735,4.09756386651249,4.100914616279502,4.099342336210496,4.101284073257845,4.10074536742068,4.101143115040479,4.096459824417248,4.096653817035957,4.095420549078704,4.096935981107417,4.100221861528276,4.103817524145989,4.103279843039871,4.102083032048067,4.0978891658207965,4.097233576496906
4.1065173581588335,4.108494651233541,4.1050566086472156,4.102314123312915,4.101404098534839,4.102304209303518,4.102846397515715,4.106188359408679,4.1046171209874345,4.1065546252294425,4.106017184893293,4.106414121823881,4.1017449446476535,4.101937780219411,4.100710126947846,4.10221739381436,4.105494376096445,4.109077942157728,4.1085394992275335,4.107349252038596,4.103168988275101,4.102511914780818
4.11179274413187,4.113761394052099,4.110334141493508,4.107599367432486,4.106693142330262,4.107587468302391,4.108131539353047,4.111464727017478,4.1098945354807155,4.111827811643477,4.111291632770682,4.111687761629661,4.107032670794049,4.10722435172474,4.106002299828625,4.1075014241938215,4.11076952032311,4.114341009757274,4.113801809562458,4.11261811145759,4.108451424508163,4.107792874852254
4.1170707584471335,4.119030782106026,4.115614298883728,4.112887222253686,4.111984787810063,4.1128733468184295,4.113419291808109,4.116743718878475,4.1151745794553385,4.117103632262338,4.116568710819495,4.116964034222224,4.112323002643933,4.112513531335887,4.111297067519687,4.112788072017594,4.116047293975323,4.119606726698646,4.1190667737916495,4.117889610064676,4.113736474302479,4.113076456482591
4.122351400872933,4.124302815148162,4.120897080589604,4.118177687559702,4.117279034766938,4.118161844623968,4.118709654664527,4.122025334764248,4.120457252676303,4.122382086848417,4.121848418806381,4.122242939365971,4.117615939984803,4.117805318836801,4.1165944298196795,4.118077337057475,4.121327696820136,4.124875092735865,4.124334391662111,4.123163747619478,4.119024137440547,4.118362659443209
4.1276346711775815,4.129577492931347,4.126182486382868,4.123470763133719,4.122575882993585,4.123452961491345,4.124002627705925,4.127309574447377,4.125742554908609,4.127663175164102,4.127130756497988,4.127524476825304,4.122911482604156,4.123099714011427,4.121894386527251,4.123369219085258,4.126610728624599,4.1301461076229495,4.129604662920847,4.128440523881625,4.124314413704865,4.123651483505486
4.132920569129389,4.134854815208419,4.131470516035255,4.128766448758922,4.127875332282706,4.128746697192896,4.1292982107159295,4.132596437700437,4.131030485917256,4.132946896971786,4.132415723660964,4.132808646364626,4.128209630289493,4.128396716643713,4.127196937441049,4.12866371787274,4.1318963891557665,4.135419771113917,4.134877587314861,4.133719938610742,4.1296073028779245,4.128942928440801
4.138209094496669,4.140134781732219,4.136761169318492,4.134064744218497,4.133177382426997,4.134043051500955,4.134596403478161,4.1378859242960075,4.136321045467246,4.138233252033857,4.137703320061959,4.1380954477483405,4.133510382828311,4.133696326517604,4.13250208235972,4.133960833191716,4.137184678180688,4.140696082962791,4.1401531645911565,4.139001991566456,4.134902804742229,4.13423699402053
4.143500247047731,4.145417392255587,4.142054446004312,4.139365649295628,4.138482033219158,4.139342024187862,4.139897205776247,4.143178034006666,4.141614233323576,4.143522240112707,4.142993545467621,4.143384880740849,4.138813740008105,4.138998543417048,4.1378098210819125,4.13926056481398,4.142475595466415,4.145975042923586,4.14543139449674,4.144286682508392,4.1402009190802715,4.139533680016055
4.148794026550889,4.150702646531361,4.147350345864447,4.144669163773499,4.143789284451887,4.144643615025952,4.1452006173938125,4.148472766604991,4.146910049251247,4.148813860970725,4.148286399644597,4.148676945106555,4.144119701616379,4.144303367125991,4.143120153406275,4.1445629125113275,4.147769140779999,4.1512566507503275,4.150712276778612,4.149574011196177,4.145501645674549,4.144832986198753
